"Weather_Condition","Road_Type","Road_Condition","Time_of_Day","Traffic_Density","Speed_Limit","Visibility","Acceleration_Events","Braking_Events","Steering_Input","Driver_Fatigue_Level","Distraction_Events","Speed","Lane_Departure_Events","Adaptive_Cruise_Control_Activation","Driver_Age","Driving_Experience","Vehicle_Type","Vehicle_Age","Accident_Occurrence","Near_Miss_Events","Intervention_Needed","Intervention_Level"
"Heavy Rain","Rural Road","Wet","Evening",1,120,656,7,8,3,3,3,43.55109213,3,0,24,5,"Truck",5,1,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",1,50,936,7,8,5,0,0,78.76521121,2,0,46,30,"SUV",8,0,0,"No","No"
"Heavy Rain","Highway","Wet","Night",2,70,236,1,2,-7,5,1,60.82105238,1,1,54,17,"SUV",13,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",1,40,405,9,6,1,0,4,76.80648035,1,1,39,34,"Truck",9,1,2,"No","No"
"Heavy Rain","Urban Road","Wet","Night",3,60,555,8,5,0,7,5,48.22868819,0,0,29,5,"SUV",11,0,0,"Yes","Mild"
"Rain","Urban Road","Dry","Morning",3,80,830,2,0,10,5,1,33.45798305,2,0,49,19,"Sedan",0,0,0,"No","No"
"Rain","Rural Road","Dry","Afternoon",1,50,663,5,8,7,10,4,38.05260388,3,0,54,17,"Truck",0,0,0,"Yes","Mild"
"Rain","Rural Road","Wet","Morning",2,120,811,10,10,3,1,4,83.58129153,2,0,33,19,"Sedan",11,1,1,"No","No"
"Heavy Rain","Urban Road","Dry","Evening",1,110,875,7,8,5,1,3,81.82541801,0,1,39,18,"SUV",10,1,1,"No","No"
"Clear","Highway","Dry","Morning",2,60,229,4,9,-9,8,2,89.50720855,1,1,53,13,"Sedan",4,0,0,"Yes","Mild"
"Rain","Urban Road","Dry","Evening",3,60,989,8,4,-2,8,0,63.4790384,2,0,41,1,"SUV",4,0,0,"Yes","Strong"
"Rain","Rural Road","Dry","Evening",3,80,908,6,8,3,7,1,64.41845549,2,0,57,1,"SUV",9,1,5,"Yes","Mild"
"Clear","Rural Road","Dry","Afternoon",3,100,776,4,5,-4,5,3,67.99613427,2,0,39,5,"Sedan",10,0,0,"No","No"
"Rain","Rural Road","Dry","Morning",1,70,221,8,10,1,9,2,70.59399523,2,1,33,19,"SUV",11,0,0,"Yes","Mild"
"Heavy Rain","Highway","Dry","Evening",1,50,807,2,9,-3,10,0,68.36026364,2,1,47,21,"Sedan",15,0,0,"Yes","Strong"
"Clear","Urban Road","Wet","Night",3,90,829,0,7,-7,0,3,38.00325439,0,0,48,11,"SUV",15,0,0,"No","No"
"Heavy Rain","Highway","Dry","Afternoon",1,40,249,9,7,10,8,1,48.26849546,1,0,30,14,"SUV",8,0,0,"Yes","Strong"
"Heavy Rain","Urban Road","Dry","Evening",1,70,308,0,7,-9,1,6,52.23494329,1,0,33,6,"SUV",15,0,0,"No","No"
"Clear","Rural Road","Wet","Afternoon",3,110,260,6,0,5,2,3,73.9847034,0,0,24,6,"SUV",6,0,0,"No","No"
